occupation,mean_gender_rating,language
miners,0.12,norwegian
models,0.74,norwegian
mountain climbers,0.33,norwegian
murderers,0.18,norwegian
musicians,0.45,norwegian
nannies,0.79,norwegian
neighbours,0.49,norwegian
neurologists,0.37,norwegian
neurosurgeons,0.29,norwegian
news readers,0.52,norwegian
novelists,0.57,norwegian
nurses,0.78,norwegian
nursery teachers,0.79,norwegian
nutritionists,0.69,norwegian
occupational therapists,0.66,norwegian
oceanographers,0.45,norwegian
office workers,0.58,norwegian
orchestra conductors,0.35,norwegian
orthodontists,0.4,norwegian
palm readers,0.75,norwegian
parachutists,0.31,norwegian
parents,0.52,norwegian
pastry chefs,0.54,norwegian
patients,0.55,norwegian
pawnbrokers,0.26,norwegian
pedestrians,0.52,norwegian
pediatricians,0.5,norwegian
pensioners,0.57,norwegian
persons,0.49,norwegian
personal trainers,0.42,norwegian
pharmacists,0.75,norwegian
philanthropists,0.44,norwegian
photographers,0.51,norwegian
physicians,0.41,norwegian
physicists,0.3,norwegian
physics students,0.3,norwegian
physiotherapists,0.6,norwegian
piano players,0.47,norwegian
pilots,0.19,norwegian
plumbers,0.14,norwegian
poets,0.49,norwegian
police inspectors,0.39,norwegian
police officers,0.34,norwegian
police sergeants,0.29,norwegian
political activists,0.56,norwegian
politicians,0.42,norwegian
porters,0.24,norwegian
postal workers,0.43,norwegian
postmen,0.4,norwegian
presidents,0.13,norwegian
priests,0.36,norwegian
primary school teachers,0.76,norwegian
prison guards,0.25,norwegian
prisoners,0.21,norwegian
private detectives,0.26,norwegian
probation officers,0.37,norwegian
professional athletes,0.43,norwegian
professors,0.37,norwegian
projectionists,0.32,norwegian
proofreaders,0.6,norwegian
prostitutes,0.83,norwegian
protestors,0.46,norwegian
psychiatrists,0.49,norwegian
psychology students,0.74,norwegian
publishers,0.45,norwegian
racing car drivers,0.15,norwegian
radio announcers,0.49,norwegian
radio technicians,0.29,norwegian
rape victims,0.86,norwegian
rapists,0.1,norwegian
receptionists,0.71,norwegian
relatives,0.5,norwegian
reporters,0.5,norwegian
rescue workers,0.26,norwegian
research scientists,0.42,norwegian
road workers,0.17,norwegian
roadies,0.46,norwegian
romantic novelists,0.74,norwegian
roofers,0.17,norwegian
rubbish collectors,0.17,norwegian
runners,0.42,norwegian
sailors,0.34,norwegian
sales assistants,0.6,norwegian
salespersons,0.43,norwegian
schoolchildrens,0.51,norwegian
screenwriters,0.43,norwegian
scuba divers,0.33,norwegian
sculptors,0.46,norwegian
secretaries,0.75,norwegian
serial killers,0.15,norwegian
sheriffs,0.22,norwegian
shoemakers,0.29,norwegian
shoplifters,0.41,norwegian
shoppers,0.76,norwegian
singers,0.59,norwegian
single parents,0.76,norwegian
skiers,0.45,norwegian
smugglers,0.23,norwegian
snooker players,0.28,norwegian
social workers,0.7,norwegian
solarium users,0.71,norwegian
soldiers,0.15,norwegian
sound engineers,0.24,norwegian
spectators,0.49,norwegian
speech therapists,0.59,norwegian
sports coachs,0.41,norwegian
spies,0.32,norwegian
statisticians,0.38,norwegian
stockbrokers,0.25,norwegian
strippers,0.81,norwegian
structural engineers,0.23,norwegian
students,0.57,norwegian
supervisors,0.32,norwegian
surfers,0.3,norwegian
surgeons,0.3,norwegian
suspects,0.26,norwegian
swimmers,0.45,norwegian
switchboard operators,0.7,norwegian
synchronized swimmers,0.78,norwegian
systems analysts,0.36,norwegian
tailors,0.49,norwegian
tap dancers,0.59,norwegian
tarot card readers,0.79,norwegian
tattooists,0.3,norwegian
tax advisors,0.44,norwegian
taxi drivers,0.22,norwegian
taxidermists,0.26,norwegian
technicians,0.27,norwegian
technologists,0.33,norwegian
teenagers,0.5,norwegian
telephone operators,0.5,norwegian
tennis players,0.49,norwegian
terrorists,0.16,norwegian
theatre directors,0.4,norwegian
thieves,0.26,norwegian
ticket inspectors,0.39,norwegian
toddlers,0.52,norwegian
toolmakers,0.2,norwegian
tour guides,0.64,norwegian
trade unionists,0.51,norwegian
traffic engineers,0.32,norwegian
train conductors,0.26,norwegian
translators,0.56,norwegian
travel agents,0.7,norwegian
trumpet players,0.34,norwegian
tuba players,0.32,norwegian
undertakers,0.34,norwegian
vets,0.63,norwegian
victims,0.65,norwegian
violinists,0.59,norwegian
waiters,0.63,norwegian
wardens,0.29,norwegian
weavers,0.83,norwegian
wedding planners,0.85,norwegian
weight lifters,0.2,norwegian
welders,0.18,norwegian
wine connoisseurs,0.37,norwegian
wood carvers,0.22,norwegian
wood workers,0.14,norwegian
workers,0.38,norwegian
wrestlers,0.2,norwegian
writers,0.52,norwegian
x-ray technicians,0.49,norwegian
youngsters,0.5,norwegian
zoologists,0.52,norwegian
administrative workers,0.75,norwegian
babysitters,0.78,norwegian
cake decorators,NA,norwegian
caretakers,0.32,norwegian
company directors,0.26,norwegian
coordinators,NA,norwegian
data processors,NA,norwegian
database administrators,NA,norwegian
dressmakers,0.49,norwegian
fortune tellers,0.79,norwegian
funeral directors,0.34,norwegian
groundkeepers,NA,norwegian
infant teachers,NA,norwegian
knitters,NA,norwegian
magician’s assistants,NA,norwegian
make up artists,NA,norwegian
medical doctors,0.41,norwegian
members of the armed forces,0.15,norwegian
playgroup leaders,NA,norwegian
socialites,NA,norwegian
sunbathers,NA,norwegian
typists,NA,norwegian
tyre fitters,NA,norwegian
vice chancellors,NA,norwegian
accountants,0.47,italian
acrobats,0.5,italian
acupuncturists,0.52,italian
administrative workers,0.54,italian
admirals,0.17,italian
aerobics instructors,0.73,italian
air traffic controllers,0.45,italian
alcoholics,0.35,italian
anglers,0.17,italian
animators,0.54,italian
antique dealers,0.4,italian
apprentices,0.49,italian
architects,0.43,italian
archivists,0.53,italian
artists,0.49,italian
assistants,0.62,italian
assistant chefs,0.49,italian
astrologists,0.45,italian
astronauts,0.21,italian
astronomers,0.36,italian
athletes,0.47,italian
au pairs,0.66,italian
auctioneers,0.32,italian
authors,0.48,italian
babies,0.54,italian
babysitters,0.86,italian
bakers,0.39,italian
bank clerks,0.48,italian
bankers,0.34,italian
barbers,0.21,italian
bartenders,0.53,italian
baseball players,0.2,italian
basketball players,0.27,italian
bass players,0.28,italian
beauticians,0.88,italian
bikers,0.22,italian
bingo players,0.52,italian
biologists,0.55,italian
birth attendants,0.85,italian
blacksmiths,0.13,italian
bookkeepers,0.45,italian
bosses,0.31,italian
boutique owners,0.51,italian
boxers,0.19,italian
bricklayers,0.08,italian
building contractors,0.22,italian
bus drivers,0.3,italian
butchers,0.23,italian
butlers,0.26,italian
cabinet ministers,0.26,italian
cake decorators,0.62,italian
camera operators,0.36,italian
campers,0.43,italian
canteen assistants,0.71,italian
card players,0.33,italian
care workers,0.64,italian
caregivers,0.88,italian
caretakers,0.28,italian
cartoonists,0.39,italian
cashiers,0.71,italian
cat owners,0.68,italian
caterers,0.43,italian
celebrities,0.53,italian
chair persons,0.23,italian
chamber-maids,0.57,italian
cheerleaders,0.91,italian
chefs,0.39,italian
chemists,0.42,italian
children,0.53,italian
child educators,0.8,italian
child-minders,0.87,italian
chiropractors,0.49,italian
chocolate lovers,0.62,italian
choreographers,0.54,italian
cinema goers,0.54,italian
clairvoyants,0.72,italian
cleaners,0.77,italian
clerks,0.58,italian
clients,0.55,italian
climbers,0.37,italian
clinical psychologists,0.57,italian
clowns,0.31,italian
colonels,0.18,italian
comedians,0.38,italian
company directors,0.29,italian
composers,0.36,italian
computer programmers,0.28,italian
computer specialists,0.26,italian
computer technicians,0.26,italian
conquerors,0.32,italian
conservationists,0.56,italian
construction workers,0.14,italian
cooks,0.45,italian
coordinators,0.5,italian
counseling psychologists,0.64,italian
counsellors,0.47,italian
couriers,0.26,italian
court reporters,0.32,italian
craft workers,0.34,italian
crane operators,0.14,italian
criminals,0.31,italian
cult members,0.45,italian
curators,0.51,italian
customers,0.54,italian
customs inspectors,0.27,italian
customs officers,0.27,italian
cyclists,0.31,italian
dance instructors,0.62,italian
dancers,0.68,italian
data processors,0.39,italian
database administrators,0.31,italian
deacons,0.16,italian
dental hygienists,0.6,italian
dental technicians,0.41,italian
dentists,0.4,italian
deputies,0.27,italian
designers,0.54,italian
detectives,0.3,italian
dieticians,0.65,italian
diplomats,0.35,italian
doctors of philosophy,0.47,italian
dog owners,0.52,italian
door keepers,0.41,italian
drivers,0.4,italian
driving instructors,0.25,italian
drug addicts,0.39,italian
drug dealers,0.21,italian
drummers,0.23,italian
economists,0.38,italian
editors,0.42,italian
educational psychologists,0.72,italian
electricians,0.15,italian
embezzlers,0.39,italian
engine-drivers,0.19,italian
engineers,0.29,italian
entertainers,0.49,italian
environmentalists,0.56,italian
estate agents,0.46,italian
executives,0.48,italian
executors,0.37,italian
exercise instructors,0.4,italian
exotic dancers,0.8,italian
explorers,0.34,italian
factory managers,0.31,italian
fans,0.56,italian
farmers,0.26,italian
fencers,0.47,italian
fig. skaters,0.68,italian
film directors,0.29,italian
film stars,0.53,italian
financial advisers,0.35,italian
financial analysts,0.34,italian
firefighters,0.18,italian
flight attendants,0.71,italian
florists,0.67,italian
flute players,0.54,italian
football coaches,0.13,italian
football players,0.17,italian
forensic psychologists,0.54,italian
forest rangers,0.27,italian
fortune tellers,0.65,italian
funeral directors,0.21,italian
game wardens,0.19,italian
gardeners,0.28,italian
generals,0.17,italian
general managers,0.31,italian
geologists,0.39,italian
goalkeepers,0.16,italian
goldsmiths,0.37,italian
golfers,0.25,italian
government officials,0.31,italian
governors,0.24,italian
graphic designers,0.47,italian
groundkeepers,0.26,italian
groupies,0.68,italian
guards,0.22,italian
guitar players,0.31,italian
gymnasts,0.64,italian
gynaecologists,0.58,italian
hairdressers,0.65,italian
heads of department,0.33,italian
head teachers,0.43,italian
"heavy equipment operators""",0.14,italian
historians,0.4,italian
history professors,0.55,italian
hitchhikers,0.38,italian
homeless persons,0.32,italian
horse riders,0.52,italian
horse trainers,0.48,italian
hospital orderlies,0.64,italian
hotel guests,0.48,italian
hotel managers,0.35,italian
housekeepers,0.79,italian
humanitarians,0.51,italian
humanities professors,0.65,italian
hunters,0.14,italian
ice skaters,0.64,italian
informants,0.46,italian
inmates,0.31,italian
innkeepers,0.41,italian
interior decorators,0.64,italian
interpreters,0.63,italian
inventors,0.33,italian
it consultants,0.27,italian
jailors,0.25,italian
janitors,0.65,italian
jewelers,0.43,italian
job kers,0.57,italian
joggers,0.42,italian
journalists,0.48,italian
judges,0.37,italian
jugglers,0.34,italian
jurors,0.42,italian
karaoke singers,0.56,italian
kids,0.53,italian
killers,0.19,italian
kindergarten teachers,0.86,italian
knitters,0.75,italian
lab technicians,0.44,italian
landscape gardeners,0.48,italian
law clerks,0.4,italian
law professors,0.48,italian
lawyers,0.46,italian
leaders,0.3,italian
librarians,0.63,italian
lieutenants,0.24,italian
lifeguards,0.31,italian
lighthouse keepers,0.17,italian
lodgers,0.51,italian
lorry drivers,0.15,italian
magicians,0.28,italian
magician’s assistants,0.78,italian
make up artists,0.73,italian
managers,0.35,italian
manicurists,0.89,italian
mathematicians,0.37,italian
mayors,0.28,italian
mechanics,0.12,italian
medical doctors,0.45,italian
members of the armed forces,0.2,italian
members of parliament,0.25,italian
metallurgists,0.18,italian
meteorologists,0.35,italian
millionaires,0.29,italian
miners,0.1,italian
models,0.65,italian
mountain climbers,0.29,italian
murderers,0.31,italian
musicians,0.45,italian
neighbours,0.52,italian
neurologists,0.41,italian
neurosurgeons,0.32,italian
news readers,0.65,italian
novelists,0.49,italian
nurses,0.67,italian
nursery teachers,0.88,italian
nutritionists,0.66,italian
occupational therapists,0.55,italian
oceanographers,0.46,italian
office workers,0.6,italian
orchestra conductors,0.21,italian
orthodontists,0.42,italian
palm readers,0.75,italian
parachutists,0.32,italian
parents,0.53,italian
pastry chefs,0.49,italian
patients,0.5,italian
pawnbrokers,0.35,italian
pedestrians,0.53,italian
pediatricians,0.58,italian
pensioners,0.53,italian
persons,0.55,italian
personal trainers,0.37,italian
pharmacists,0.62,italian
philanthropists,0.47,italian
photographers,0.45,italian
physicians,0.45,italian
physicists,0.31,italian
physics students,0.33,italian
physiotherapists,0.49,italian
piano players,0.42,italian
pilots,0.2,italian
playgroup leaders,0.32,italian
plumbers,0.13,italian
poets,0.42,italian
police inspectors,0.35,italian
police officers,0.34,italian
police sergeants,0.26,italian
political activists,0.4,italian
politicians,0.25,italian
porters,0.18,italian
postal workers,0.62,italian
postmen,0.46,italian
presidents,0.24,italian
primary school teachers,0.8,italian
prison guards,0.28,italian
prisoners,0.32,italian
private detectives,0.27,italian
probation officers,0.21,italian
professional athletes,0.45,italian
professors,0.59,italian
projectionists,0.39,italian
proofreaders,0.53,italian
prostitutes,0.83,italian
protestors,0.49,italian
psychiatrists,0.53,italian
psychology students,0.69,italian
publishers,0.41,italian
racing car drivers,0.13,italian
radio announcers,0.48,italian
radio technicians,0.32,italian
rape victims,0.88,italian
rapists,0.11,italian
receptionists,0.67,italian
relatives,0.53,italian
reporters,0.37,italian
rescue workers,0.43,italian
research scientists,0.46,italian
road workers,0.14,italian
romantic novelists,0.73,italian
roofers,0.22,italian
rubbish collectors,0.27,italian
runners,0.41,italian
sailors,0.16,italian
sales assistants,0.71,italian
salespersons,0.57,italian
schoolchildrens,0.53,italian
screenwriters,0.43,italian
scuba divers,0.3,italian
sculptors,0.39,italian
secretaries,0.78,italian
serial killers,0.26,italian
sheriffs,0.19,italian
shoemakers,0.23,italian
shoplifters,0.35,italian
shoppers,0.57,italian
singers,0.52,italian
single parents,0.77,italian
skiers,0.44,italian
smugglers,0.22,italian
snooker players,0.24,italian
social workers,0.72,italian
socialites,0.47,italian
solarium users,0.65,italian
soldiers,0.22,italian
sound engineers,0.28,italian
spectators,0.53,italian
speech therapists,0.66,italian
sports coachs,0.36,italian
spies,0.39,italian
statisticians,0.37,italian
stockbrokers,0.27,italian
strippers,0.71,italian
structural engineers,0.34,italian
students,0.55,italian
supervisors,0.37,italian
surfers,0.32,italian
surgeons,0.33,italian
suspects,0.37,italian
swimmers,0.47,italian
switchboard operators,0.69,italian
synchronized swimmers,0.79,italian
systems analysts,0.36,italian
tailors,0.75,italian
tap dancers,0.5,italian
tarot card readers,0.77,italian
tattooists,0.36,italian
tax advisors,0.38,italian
taxi drivers,0.21,italian
taxidermists,0.3,italian
technologists,0.31,italian
teenagers,0.53,italian
telephone operators,0.63,italian
tennis players,0.47,italian
terrorists,0.22,italian
theatre directors,0.37,italian
thieves,0.3,italian
ticket inspectors,0.3,italian
toddlers,0.53,italian
toolmakers,0.29,italian
tour guides,0.63,italian
trade unionists,0.39,italian
traffic engineers,0.3,italian
train conductors,0.21,italian
translators,0.65,italian
travel agents,0.58,italian
trumpet players,0.33,italian
tuba players,0.37,italian
typists,0.64,italian
tyre fitters,0.11,italian
undertakers,0.15,italian
vets,0.51,italian
vice chancellors,0.31,italian
victims,0.71,italian
violinists,0.54,italian
waiters,0.55,italian
wardens,0.25,italian
weavers,0.72,italian
wedding planners,0.73,italian
weight lifters,0.22,italian
welders,0.13,italian
wine connoisseurs,0.34,italian
wood carvers,0.28,italian
wood workers,0.15,italian
workers,0.38,italian
wrestlers,0.18,italian
writers,0.49,italian
x-ray technicians,0.43,italian
youngsters,0.52,italian
zoologists,0.49,italian
ballet dancers,0.68,italian
car mechanics,NA,italian
carpenters,0.15,italian
dressmakers,NA,italian
fashion models,0.65,italian
health visitors,0.72,italian
infant teachers,0.88,italian
nannies,NA,italian
priests,NA,italian
roadies,NA,italian
sunbathers,NA,italian
technicians,0.31,italian
